Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
131 Devoe Street #4B,5/13/2023,"$725,000",Williamsburg,527,"$1,376",Condo,0,1,25.2,11.10,,,,,,,Line,1,0,0,
154 Sullivan Place ,6/13/2023,"$1,295,000",Crown Height,1775,$730,House,4,2,,,,,,,,,,,,,
1638 Eighth Avenue #2F,5/16/2023,"$1,650,000",Park slope ,1057,"$1,561",Condo,3,2,11.4,18.4,12.2,18.5,9,13.4,9.7,9.5,Galley,5,0,0,
467 Tompkins Avenue #2B,5/4/2023,"$515,000",Bedford-Stuyvesant,559,$921,Condo,1,1,8,19.5,8.4,12.5,,,,,L-shape,1,0,1,
1 City Point #19H,5/22/2023,"$1,220,000",Downtown Brooklyn,739,"$1,651",Condo,1,1,12.5,20.4,11,12.9,,,,,Line,1,1,0,
458 East 25th Stree #408,5/5/2023,"$550,000",Flatbush,500,"$1,100",Condo,1,1,12.7,10.2,10,12,,,,,L-shape,1,1,0,
604 Linden Boulevard,5/17/2023,"$1,250,000",Flatbush,3000,$417,Multi-family,8,4,,,,,,,,,,,,,
115 York street 14D-YORK,4/28/2023,"$2,515,000",Dumbo,1327,"$1,895",Condo,2,2,19,20.3,12.7,13.3,12.3,10.8,,,Island,2,0,1,
101 Douglass street #2,5/18/2023,"$2,600,000",Boerum Hill,1503,"$1,730",Condo,3,2.5,16.5,17.6,17.5,11.3,8.7,12.8,8.4,12.5,L-shape,3,0,1,
176 18th street,5/2/2023,"$1,150,000",Greenwood,2473,$465,House,5,1.5,,,,,,,,,Galley,2,1,0,
1354 East 31st street ,4/28/2023,"$1,100,000",Midwood,3000,$367,House,8,4,,,,,,,,,,,,,
534 East 24th street,4/18/2023,"$1,699,000",Ditmas Park ,2578,$659,House,5,3,,,,,,,,,,,,,
216 Parkville Avenue ,4/14/2023,"$1,250,000",Kensington,3120,$401,Multi-family,6,3,,,,,,,,,,,,,
214 Parkville Avenue,4/14/2023,"$1,700,000",Kensington,3120,$545,Multi-family,6,3,,,,,,,,,,,,,
129A Calyer street,4/12/2023,"$1,895,000",Greenpoint,2818,$672,Townhouse,3,1.5,12.1,10.7,14.7,13.4,9.2,10.9,11.6,13.1,L-shape,5,0,0,
267 1st street #6,5/17/2023,"$1,825,000",Park slope ,1310,"$1,393",Condo,2,2,14.2,16.11,12.2,14.8,21.3,14,,,Island,3,0,0,
526 Union Avenue #502,5/18/2023,"$915,000",Williamsburg,618,"$1,481",Condo,1,1,21.4,11.1,11.6,9.9,,,,,Line,2,0,0,
1504 Jefferson Avenue #3B,5/16/2023,"$695,000",Bushwick,708,$982,Condo,1,1,13.1,16.3,11.1,9.1,,,,,Island,0,0,0,
7 Paerdegat 13th street,5/12/2023,"$609,000",Canarsie,1250,$487,House,3,1.5,,,,,,,,,,,,,
