Address,Developer ,Stage ,Units ,Studio %,Studio SF,1 BR %,1BR SF,2 BR %,2 BR SF,3 BR %,3 BR SF,,,,,,,,,,,,,,
363 Bond St,Atlantic ,Completed,297,39%,471,38%,602,23%,-,1%,-,,,,,,,,,,,,,,
365 Bond St ,Lightstone,Completed,329,31%,460,47%,631,22%,1092,0%,-,,,,,,,,,,,,,,
150 Fourth Ave ,Adellco,Completed,119,10%,480,59%,682,31%,986,0%,-,,,,,,,,,,,,,,
498 Sackett St ,PMG,Completed,173,0%,-,40%,612,37%,951,22%,1244,,,,,,,,,,,,,,
335 Bond St ,E&M Realty ,Mid 2025,73,0%,-,51%,675,49%,1003,0%,-,,,,,,,,,,,,,,
380 Fourth Ave ,Quinlan ,Completed ,197,0%,-,72%,669,28%,912,0%,-,,,,,,,,,,,,,,
499 President St,Avery Hall,Completed ,350,26%,453,57%,646,17%,991,0%,-,,,,,,,,,,,,,,
544 Carroll Street,Avery Hall,Completed,133,2%,846,46%,718,52%,1111,1%,2393,,,,,,,,,,,,,,
653 Union Street ,Avery Hall,Completed,193,0%,-,79%,610,21%,994,0%,-,,,,,,,,,,,,,,
129 3rd St,Prospect Developers II,End 2025,94,0%,-,64%,581,36%,915,0%,-,,,,,,,,,,,,,,
192 Douglass St ,Midwood,Not Started ,200,25%,462,40%,722,31%,995,5%,1363,,,,,,,,,,,,,,
267 Bond Street ,Property Markets Group,Completed ,227,4%,502,65%,624,31%,897,0%,-,,,,,,,,,,,,,,
450 Union St,Tankhouse & McArthur Holdings,2026,119,18%,369,60%,543,13%,815,8%,1065,,,,,,,,,,,,,,
336 Douglass St,Solanki Engineering PC,Completed,113,8%,468,78%,573,14%,863,0%,-,,,,,,,,,,,,,,
420 Carroll St,Domain ,Completed,247,7%,466,59%,665,30%,883,4%,1121,,,,,,,,,,,,,,
Total / Median,,,2864,11%,498,57%,637,29%,958,3%,1437,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
585 Union Street,,Completed,224,17%,400,37%,517,34%,811,12%,971,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
