450 Union St ,,,,,,,,,
Studio ,Sqft,1 Bed,Sqft,2 Bed ,Sqft,3BR,Sqft,,
607,358,409,676,401,991,402,1164,,
605,353,405,509,403,771,404,974,,
705,353,511,542,502,880,504,976,,
807,356,512,551,503,771,611,1051,,
805,353,513,589,602,880,711,1061,,CHECK IF THESE ARE MARKET RATE
807,356,514,568,702,880,1506,936,,
906,358,515,612,703,771,1802,1150,,
1001,416,507,502,809,776,1804,1101,,
1006,358,508,549,803,673,1902,1150,,
1104,350,514,568,804,792,1904,1095,,
1106,358,506,553,901,778,,,,
1201,414,612,542,1002,775,,,,
1206,358,613,551,1202,775,,,,
1304,350,609,550,1402,775,,,,
1306,358,610,504,1503,802,,,,
1401,414,616,612,1706,952,,,,
1404,350,606,553,,,,,,
1406,358,712,558,,,,,,
1605,358,709,549,,,,,,
1705,355,710,490,,,,,,
1801,414,715,570,,,,,,
1901,414,701,547,,,,,,
,,706,553,,,,,,
,,801,556,,,,,,
,,908,552,,,,,,
,,909,491,,,,,,
,,910,549,,,,,,
,,905,554,,,,,,
,,1009,491,,,,,,
,,1010,549,,,,,,
,,1003,555,,,,,,
,,1008,552,,,,,,
,,1109,491,,,,,,
,,1110,549,,,,,,
,,1103,555,,,,,,
,,1105,554,,,,,,
,,1106,552,,,,,,
,,1209,491,,,,,,
,,1203,555,,,,,,
,,1205,554,,,,,,
,,1208,552,,,,,,
,,1209,491,,,,,,
,,1309,491,,,,,,
,,1310,549,,,,,,
,,1303,555,,,,,,
,,1305,553,,,,,,
,,1307,506,,,,,,
,,1308,552,,,,,,
,,1309,491,,,,,,
,,1310,549,,,,,,
,,1410,549,,,,,,
,,1409,491,,,,,,
,,1403,555,,,,,,
,,1405,554,,,,,,
,,1407,506,,,,,,
,,1408,552,,,,,,
,,1501,504,,,,,,
,,1502,596,,,,,,
,,1607,468,,,,,,
,,1608,549,,,,,,
,,1601,504,,,,,,
,,1602,596,,,,,,
,,1604,554,,,,,,
,,1707,478,,,,,,
,,1708,549,,,,,,
,,1701,504,,,,,,
,,1702,596,,,,,,
,,1805,548,,,,,,
,,1803,547,,,,,,
,,1905,548,,,,,,
,,1903,547,,,,,,
,,,,,,,,,
Total ,Avg Sqft,Total ,Avg Sqft,Total ,Avg Sqft,Total ,Avg Sqft,,
22,369,71,543,16,815,10,"1,065",,
18%,,60%,,13%,,8%,,,
,,,,,,,,,
Total Units,,,,,,,,,
119,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Total ,Avg Sqft,Total ,Avg Sqft,Total ,Avg Sqft,,,,
10,502,147,624,70,897,,,,
4%,,65%,,31%,,,,,
,,,,,,,,,
Total Units,,,,,,,,,
227,,,,,,,,,
